scenario,category,trades,wins,losses,win_rate_pct,avg_return_pct,median_return_pct,pnl,return_pct,profit_factor,best_trade_pct,worst_trade_pct,max_drawdown_pct,max_drawdown_usd,peak_equity,open_positions,rejected_limit,rejected_duplicate
V5_BASE_SL5TP10,base,382,175,207,45.81151832,1.60786734,-0.20000000,614.20532469,61.42053247,1.80192663,179.83866384,-22.40833083,-13.81962894,-150.33053376,1576.73938704,9,9024,3214
COST_015,cost,382,165,217,43.19371728,1.03508110,-0.31223492,395.40097833,39.54009783,1.46469562,179.64855439,-22.49721555,-15.14311087,-163.81885682,1338.58427289,8,9068,3171
COST_020,cost,365,157,208,43.01369863,1.15799397,-0.40997202,422.66779756,42.26677976,1.55782771,187.63944183,-22.58610027,-16.48135526,-177.30717987,1349.60032432,9,9157,3098
COST_030,cost,351,138,213,39.31623932,0.86176688,-0.64312657,302.48017455,30.24801745,1.36158526,182.54331073,-22.76386971,-21.37987908,-227.44018134,1196.61116571,8,9424,2846
SCORE72_SL5TP10,score,352,160,192,45.45454545,1.34829131,-0.21995306,474.59854115,47.45985411,1.63695207,179.83866384,-24.59571116,-16.76794911,-170.62998717,1440.13260350,9,7895,2892
REMOVE_TOP5,outlier,377,170,207,45.09283820,0.85576445,-0.20000000,322.62319945,32.26231994,1.42122744,23.15324675,-22.40833083,-12.29847637,-128.97135768,1322.62319945,9,9024,3214
REMOVE_TOP10,outlier,372,165,207,44.35483871,0.58474876,-0.20249506,217.52653968,21.75265397,1.28400979,19.03564706,-22.40833083,-12.57613890,-128.97135768,1217.52653968,9,9024,3214
REMOVE_TOP20,outlier,362,155,207,42.81767956,0.16290433,-0.21024076,58.97136759,5.89713676,1.07699495,13.77854478,-22.40833083,-15.60010765,-159.98289147,1058.97136759,9,9024,3214
CAP_20,gain_cap,382,175,207,45.81151832,1.09054324,-0.20000000,416.58751676,41.65875168,1.54391033,20.00000000,-22.40833083,-12.10402806,-128.97135768,1416.58751676,9,9024,3214
CAP_30,gain_cap,382,175,207,45.81151832,1.20396794,-0.20000000,459.91575469,45.99157547,1.60048110,30.00000000,-22.40833083,-11.95643319,-128.97135768,1459.91575469,9,9024,3214
CAP_50,gain_cap,382,175,207,45.81151832,1.26797555,-0.20000000,484.36666085,48.43666609,1.63240501,50.00000000,-22.40833083,-11.91032676,-128.97135768,1484.36666085,9,9024,3214
REMOVE_SYMBOL_TOP5,symbol_concentration,328,139,189,42.37804878,0.49672623,-0.20998202,162.92620280,16.29262028,1.25852424,30.27520392,-22.40833083,-12.96148387,-133.51113054,1162.92620280,9,9024,3214
REMOVE_SYMBOL_TOP10,symbol_concentration,293,120,173,40.95563140,-0.04781687,-0.21698555,-14.01034412,-1.40103441,0.97490657,22.82623203,-15.69375000,-19.53481628,-197.31006762,1010.04311909,9,9024,3214
FIRST_HALF,time,350,154,196,44.00000000,0.87151537,-0.20249506,305.03038078,30.50303808,1.43584469,34.17570225,-22.40833083,-13.81962894,-150.33053376,1296.19263614,10,8484,2848
SECOND_HALF,time,27,16,11,59.25925926,9.60461846,1.03222982,259.32469831,25.93246983,4.64931836,192.95480506,-13.33378941,-3.77456494,-38.63638887,1257.45876066,8,597,305
