scenario,category,trades,wins,losses,win_rate_pct,avg_return_pct,median_return_pct,pnl,return_pct,profit_factor,best_trade_pct,worst_trade_pct,max_drawdown_pct,max_drawdown_usd,peak_equity,open_positions,rejected_limit,rejected_duplicate,rejected_cooldown,rejected_symbol_24h,cooldown_hours,max_entries_24h,max_positions,position_size,score_min
V6_BASE,base,371,154,217,41.50943396,0.67476919,-0.23464239,250.33936818,25.03393682,1.32553358,34.17570225,-22.40833083,-16.41952654,-178.61233472,1215.53240459,10,9234,3014,0,0,0.0,,10,100.0,70.0
COOLDOWN_6H,diversification,376,160,216,42.55319149,1.29760179,-0.20798543,487.89827253,48.78982725,1.65384416,183.31069952,-27.10861656,-11.24580226,-119.78351420,1451.03233489,9,8271,3180,793,0,6.0,,10,100.0,70.0
COOLDOWN_12H,diversification,365,155,210,42.46575342,0.99485850,-0.21797840,363.12335310,36.31233531,1.50176030,177.12169201,-21.22889908,-11.51245438,-122.53354390,1335.03345864,9,7716,3126,1413,0,12.0,,10,100.0,70.0
COOLDOWN_24H,diversification,358,165,193,46.08938547,0.70167048,-0.20000000,251.19803313,25.11980331,1.39496873,34.17570225,-22.11945055,-9.56412410,-102.28663092,1214.49803313,9,6474,3242,2546,0,24.0,,10,100.0,70.0
MAX1_ENTRY_24H,diversification,372,173,199,46.50537634,1.61971633,-0.18004096,602.53447338,60.25344734,1.95774023,183.31069952,-22.40833083,-10.61095393,-112.54261010,1566.06853573,9,8359,3250,0,639,0.0,1,10,100.0,70.0
MAX2_ENTRIES_24H,diversification,377,163,214,43.23607427,0.75606167,-0.21049651,285.03524901,28.50352490,1.37908919,34.17570225,-22.40833083,-14.05086657,-152.84594694,1249.81656655,10,8970,3171,0,101,0.0,2,10,100.0,70.0
MAX5_POS,diversification,208,94,114,45.19230769,1.58208844,-0.21995805,329.07439607,32.90743961,1.76978558,183.31069952,-15.69375000,-10.98386411,-114.91995316,1309.50845842,4,10714,1703,0,0,0.0,,5,100.0,70.0
MAX7_POS,diversification,283,120,163,42.40282686,0.62199353,-0.24321308,176.02416898,17.60241690,1.30314779,34.17570225,-11.70559667,-12.56517193,-131.82130756,1151.03549326,7,10030,2309,0,0,0.0,,7,100.0,70.0
SCORE72,diversification,337,142,195,42.13649852,1.15786050,-0.26581028,390.19898854,39.01989885,1.55765454,183.31069952,-20.61553134,-17.68286755,-179.94016103,1357.33305089,8,8107,2696,0,0,0.0,,10,100.0,72.0
COOLDOWN12_MAX1_24H,diversification,367,173,194,47.13896458,1.81590159,-0.17403171,666.43588229,66.64358823,2.10319329,179.83866384,-21.17467532,-11.46531870,-122.59048532,1638.14598783,9,7481,3222,1437,113,12.0,1,10,100.0,70.0
