scenario,trades,win_rate_pct,pnl,return_on_reference_capital_pct,profit_factor,max_drawdown_pct,real_data_issues,warnings
CD12_E1_P15,483,43.2712215320911,4640.299319915995,464.0299319915995,1.6386522190724473,-84.10717617695558,483,3
CD12_E1_P5,184,42.934782608695656,341.6163467637297,34.16163467637297,1.1135819946876213,-74.41134406651432,184,2
CD12_E1_P7,256,45.703125,3256.7344523240445,325.67344523240445,1.776732402749239,-75.05434383552533,256,3
CD12_E2_P10,347,42.07492795389049,1927.7730495129263,192.77730495129262,1.3487557166549728,-85.44226136637579,347,2
CD12_E2_P15,490,42.857142857142854,5106.872590086139,510.6872590086139,1.717958938360423,-88.79194418290251,490,3
CD12_E2_P5,185,44.32432432432433,675.7602782231469,67.57602782231469,1.2272419638091896,-78.11652463154205,185,2
CD12_E2_P7,256,44.140625,2906.251185760359,290.6251185760359,1.6991948968049095,-70.12502141613473,256,3
CD24_E1_P10,345,42.608695652173914,1594.5962619161023,159.45962619161023,1.2858375375966666,-90.619057911611,345,2
CD24_E1_P15,477,41.509433962264154,1615.8423930374036,161.58423930374036,1.221859944367422,-117.04498221524331,477,2
CD24_E1_P5,188,43.61702127659575,1198.0868771676114,119.80868771676114,1.4007562071683795,-74.77163437237228,188,2
CD24_E1_P7,247,42.91497975708502,3138.259823754867,313.82598237548666,1.8482016281037212,-72.56054406838007,247,3
CD24_E2_P10,345,42.608695652173914,1594.5962619161023,159.45962619161023,1.2858375375966666,-90.619057911611,345,2
CD24_E2_P15,477,41.509433962264154,1615.8423930374036,161.58423930374036,1.221859944367422,-117.04498221524331,477,2
CD24_E2_P5,188,43.61702127659575,1198.0868771676114,119.80868771676114,1.4007562071683795,-74.77163437237228,188,2
CD24_E2_P7,247,42.91497975708502,3138.259823754867,313.82598237548666,1.8482016281037212,-72.56054406838007,247,3
CD6_E1_P10,349,42.97994269340974,4513.280646457954,451.32806464579545,1.8453355155623106,-80.00566443851284,349,3
CD6_E1_P15,490,44.48979591836735,5756.020615217738,575.6020615217737,1.8215147762039903,-81.44687209366501,490,3
CD6_E1_P5,194,44.329896907216494,1168.3381942742897,116.83381942742896,1.3656413352069765,-81.57022270595216,194,2
CD6_E1_P7,257,44.3579766536965,3252.563170405141,325.2563170405141,1.7944525127404625,-78.35161790366566,257,3
CD6_E2_P10,353,43.90934844192634,2986.724627418582,298.67246274185817,1.5638924270467942,-77.02331492356716,353,2
CD6_E2_P15,496,44.354838709677416,5261.11872832831,526.111872832831,1.7114260635677991,-92.3121755407835,496,3
CD6_E2_P5,194,44.329896907216494,1157.3812043019939,115.7381204301994,1.3611429169184264,-82.66592170318175,194,2
CD6_E2_P7,256,41.796875,902.1767598467737,90.21767598467737,1.2060048023130683,-78.33875906514325,256,2
COST_0.15,344,41.56976744186046,3425.8039073725267,342.5803907372527,1.600883604430117,-92.66977773793343,344,3
COST_0.20,344,40.116279069767444,3081.8039073725267,308.18039073725265,1.5218643903405449,-99.34857659876515,344,3
COST_0.30,344,38.372093023255815,2393.803907372528,239.38039073725278,1.3785617025259962,-114.1176977949525,344,3
ROBUST_72_SL5_TP10_CD6_P7,267,46.441947565543074,3768.646654434428,376.8646654434428,1.9106045702300778,-88.93635736786581,267,3
ROBUST_78_SL4_TP12_CD6_P7,210,43.80952380952381,2466.9223036345247,246.6922303634525,1.9006905229586692,-55.525733737849436,210,2
ROBUST_78_SL5_TP10_CD24_P5,147,45.57823129251701,1317.1205305033761,131.71205305033763,1.6438400866410197,-30.4565323690203,147,2
ROBUST_78_SL5_TP10_CD6_P7,211,45.497630331753555,3042.965724122481,304.29657241224805,1.9439096362705754,-39.050153101157605,211,3
ROBUST_78_SL5_TP12_CD24_P5,143,48.95104895104895,1494.1986819595097,149.41986819595095,1.7359054782430108,-30.4565323690203,143,2
ROBUST_78_SL5_TP12_CD6_P7,202,49.00990099009901,4037.5673493505533,403.7567349350553,2.4243929297018263,-33.89098573322866,202,3
S72_SL4_TP10,375,40.8,1913.8205139034199,191.38205139034199,1.3407636381623962,-118.72157410897974,375,2
S72_SL4_TP12,376,41.48936170212766,4249.0346034268105,424.90346034268106,1.749800920577588,-108.4118236644504,376,3
S72_SL4_TP15,369,40.921409214092144,4814.149612500537,481.4149612500537,1.8514632374329347,-117.09721825351143,369,3
S72_SL4_TP8,396,42.42424242424242,1860.1978991642177,186.01978991642176,1.3235126406422257,-132.40765694920287,396,2
S72_SL5_TP10,363,43.25068870523416,3697.4566836939953,369.74566836939954,1.6400393974948422,-85.75141349925931,363,3
S72_SL5_TP12,356,42.97752808988764,2562.725939982623,256.2725939982623,1.4561881747120504,-76.47166515876516,356,2
S72_SL5_TP15,348,43.103448275862064,3280.8583445154654,328.08583445154653,1.6141463921863486,-80.31936612373303,348,2
S72_SL5_TP8,371,42.04851752021563,1830.7837375520755,183.07837375520754,1.2909700107915714,-94.74334638455328,371,3
S72_SL6_TP10,353,43.05949008498583,3271.6695855168077,327.16695855168075,1.5492053473107181,-102.8535154681563,353,3
S72_SL6_TP12,354,43.50282485875706,2603.410544076265,260.34105440762653,1.4422928868265221,-90.26815990791131,354,2
S72_SL6_TP15,348,41.66666666666667,1964.5171684044633,196.45171684044632,1.3273657052771073,-100.76753220518748,348,2
S72_SL6_TP8,365,44.657534246575345,2925.596585900737,292.5596585900737,1.5078844076848459,-106.80038847309422,365,3
S75_SL4_TP10,345,41.15942028985507,1706.1938202902113,170.61938202902112,1.3423283237446213,-84.55866106548501,345,2
S75_SL4_TP12,350,41.42857142857143,4235.934925622236,423.5934925622236,1.8198834897073564,-75.97686733229739,350,3
S75_SL4_TP15,338,39.94082840236686,2586.6094463322665,258.6609446332266,1.515705887925135,-84.50752766369737,338,2
S75_SL4_TP8,357,43.13725490196079,1510.1764349769871,151.0176434976987,1.304899378812862,-63.89828264345901,357,2
S75_SL5_TP10,344,43.02325581395349,3769.8039073725276,376.9803907372528,1.6849955981726241,-86.23662871411504,344,3
S75_SL5_TP12,341,42.52199413489736,4148.438552925638,414.84385529256383,1.7306061325592446,-87.1371064877912,341,3
S75_SL5_TP15,336,42.857142857142854,4909.677138509911,490.9677138509911,1.9600955646239935,-95.28720844981522,336,3
S75_SL5_TP8,346,43.0635838150289,2350.779134202268,235.07791342022676,1.4384428164445369,-73.66454110266835,346,3
S75_SL6_TP10,334,42.51497005988024,1599.420519722156,159.9420519722156,1.3005552034286052,-87.57246563224884,334,2
S75_SL6_TP12,330,40.909090909090914,1499.754827917424,149.97548279174242,1.2609656639011526,-88.38523769135858,330,2
S75_SL6_TP15,334,40.41916167664671,2389.7758193489854,238.97758193489852,1.3963732725491094,-95.2642377550505,334,2
S75_SL6_TP8,342,46.783625730994146,1833.4614338335339,183.34614338335336,1.3643190389471282,-74.75831694117643,342,2
S78_SL4_TP10,301,45.51495016611295,2690.3778545858595,269.037785458586,1.7031902927468812,-53.4245253770131,301,2
S78_SL4_TP12,300,45.33333333333333,5194.8487899463535,519.4848789946353,2.301529254504477,-52.12023823236167,300,3
S78_SL4_TP15,291,42.2680412371134,2888.7541089723554,288.87541089723555,1.7253806390165145,-63.07870403711898,291,2
S78_SL4_TP8,313,47.6038338658147,4705.865762458913,470.5865762458913,2.236049339447292,-35.616753619154075,313,3
S78_SL5_TP10,294,42.857142857142854,1492.1856578652726,149.21856578652725,1.3431141249955856,-48.93987550531672,294,2
S78_SL5_TP12,289,43.59861591695502,2298.8712569066697,229.88712569066698,1.5326282356869787,-52.43840419846031,289,2
