severity,category,scenario,row,message
AUDITOR_DEFECT,AUDITOR_SCHEMA_COMPATIBILITY,-,0,Auditoria V8.1 exigia campos de um schema econômico que não existem no CSV legado V8.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,3,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,4,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,8,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,9,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,14,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,17,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,21,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,27,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,33,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,37,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,39,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,46,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,55,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,57,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,59,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,64,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,67,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,85,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,95,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,97,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,102,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,104,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,109,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,114,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,118,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,123,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,128,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,130,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,134,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,149,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,153,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,154,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,157,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,159,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,162,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,167,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,169,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,170,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,178,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,181,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,190,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,192,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,194,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,196,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,199,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,205,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,207,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,210,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,212,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,215,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,220,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,225,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,228,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,232,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,239,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,242,linhas do cenário não estão em ordem crescente de entry_time.
WARNING,SCENARIO_ORDER,S72_SL4_TP8,243,linhas do cenário não estão em ordem crescente de entry_time.
