type,category,scenario,symbol,row,detail
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP8,USDE/USDT,75,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP8,XUSD/USDT,93,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP8,GPS/USDT,233,"entry=exit=0.00991, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP8,TREE/USDT,250,"entry=exit=0.0377, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP8,RLUSD/USDT,349,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP10,USDE/USDT,471,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP10,XUSD/USDT,489,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP10,USDC/USDT,704,"entry=exit=1.00088, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP12,USDE/USDT,844,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP12,XUSD/USDT,862,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP12,GPS/USDT,993,"entry=exit=0.00991, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP12,USDC/USDT,1073,"entry=exit=1.00088, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP12,U/USDT,1077,"entry=exit=1.0005, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP12,RLUSD/USDT,1104,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP15,USDE/USDT,1219,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP15,XUSD/USDT,1237,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP15,USDC/USDT,1441,"entry=exit=1.00088, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP15,U/USDT,1443,"entry=exit=1.0005, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL4_TP15,RLUSD/USDT,1472,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP8,USDE/USDT,1587,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP8,XUSD/USDT,1605,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP8,TREE/USDT,1731,"entry=exit=0.0359, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP8,U/USDT,1840,"entry=exit=1.0005, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP10,USDE/USDT,1958,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP10,RLUSD/USDT,2160,"entry=exit=1.0011, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP10,U/USDT,2182,"entry=exit=1.0005, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP10,RLUSD/USDT,2208,"entry=exit=1.0012, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP12,USDE/USDT,2319,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP12,U/USDT,2541,"entry=exit=1.0005, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP12,U/USDT,2566,"entry=exit=1.0005, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP15,USDE/USDT,2674,"entry=exit=1.0009, return_pct=-0.20000000%"
REAL_DATA_ISSUE,FLAT_PRICE_NONZERO_RETURN,S72_SL5_TP15,RLUSD/USDT,2874,"entry=exit=1.0011, return_pct=-0.20000000%"
