csv_row,scenario,symbol,side,entry_time,exit_time,entry_price,exit_price,price_return_pct,return_pct,implicit_cost_pp,pnl,classification
75,S72_SL4_TP8,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
93,S72_SL4_TP8,XUSD/USDT,-,2026-07-28T01:00:00+00:00,2026-07-29T01:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
233,S72_SL4_TP8,GPS/USDT,-,2026-08-07T18:00:00+00:00,2026-08-08T18:00:00+00:00,0.00991,0.00991,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
250,S72_SL4_TP8,TREE/USDT,-,2026-08-09T04:00:00+00:00,2026-08-10T04:00:00+00:00,0.0377,0.0377,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
349,S72_SL4_TP8,RLUSD/USDT,-,2026-08-16T12:00:00+00:00,2026-08-17T12:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
471,S72_SL4_TP10,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
489,S72_SL4_TP10,XUSD/USDT,-,2026-07-28T01:00:00+00:00,2026-07-29T01:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
704,S72_SL4_TP10,USDC/USDT,-,2026-08-14T04:00:00+00:00,2026-08-15T04:00:00+00:00,1.00088,1.00088,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
844,S72_SL4_TP12,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
862,S72_SL4_TP12,XUSD/USDT,-,2026-07-28T01:00:00+00:00,2026-07-29T01:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
993,S72_SL4_TP12,GPS/USDT,-,2026-08-07T18:00:00+00:00,2026-08-08T18:00:00+00:00,0.00991,0.00991,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1073,S72_SL4_TP12,USDC/USDT,-,2026-08-14T04:00:00+00:00,2026-08-15T04:00:00+00:00,1.00088,1.00088,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1077,S72_SL4_TP12,U/USDT,-,2026-08-14T09:00:00+00:00,2026-08-15T09:00:00+00:00,1.0005,1.0005,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1104,S72_SL4_TP12,RLUSD/USDT,-,2026-08-16T12:00:00+00:00,2026-08-17T12:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1219,S72_SL4_TP15,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1237,S72_SL4_TP15,XUSD/USDT,-,2026-07-28T01:00:00+00:00,2026-07-29T01:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1441,S72_SL4_TP15,USDC/USDT,-,2026-08-14T04:00:00+00:00,2026-08-15T04:00:00+00:00,1.00088,1.00088,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1443,S72_SL4_TP15,U/USDT,-,2026-08-14T09:00:00+00:00,2026-08-15T09:00:00+00:00,1.0005,1.0005,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1472,S72_SL4_TP15,RLUSD/USDT,-,2026-08-16T12:00:00+00:00,2026-08-17T12:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1587,S72_SL5_TP8,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1605,S72_SL5_TP8,XUSD/USDT,-,2026-07-28T01:00:00+00:00,2026-07-29T01:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1731,S72_SL5_TP8,TREE/USDT,-,2026-08-07T04:00:00+00:00,2026-08-08T04:00:00+00:00,0.0359,0.0359,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1840,S72_SL5_TP8,U/USDT,-,2026-08-16T01:00:00+00:00,2026-08-17T01:00:00+00:00,1.0005,1.0005,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
1958,S72_SL5_TP10,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2160,S72_SL5_TP10,RLUSD/USDT,-,2026-08-12T18:00:00+00:00,2026-08-13T18:00:00+00:00,1.0011,1.0011,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2182,S72_SL5_TP10,U/USDT,-,2026-08-14T09:00:00+00:00,2026-08-15T09:00:00+00:00,1.0005,1.0005,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2208,S72_SL5_TP10,RLUSD/USDT,-,2026-08-16T12:00:00+00:00,2026-08-17T12:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2319,S72_SL5_TP12,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2541,S72_SL5_TP12,U/USDT,-,2026-08-14T09:00:00+00:00,2026-08-15T09:00:00+00:00,1.0005,1.0005,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2566,S72_SL5_TP12,U/USDT,-,2026-08-16T01:00:00+00:00,2026-08-17T01:00:00+00:00,1.0005,1.0005,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2674,S72_SL5_TP15,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2874,S72_SL5_TP15,RLUSD/USDT,-,2026-08-12T18:00:00+00:00,2026-08-13T18:00:00+00:00,1.0011,1.0011,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
2894,S72_SL5_TP15,U/USDT,-,2026-08-14T09:00:00+00:00,2026-08-15T09:00:00+00:00,1.0005,1.0005,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
3026,S72_SL6_TP8,USDE/USDT,-,2026-07-26T16:00:00+00:00,2026-07-27T16:00:00+00:00,1.0009,1.0009,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
3044,S72_SL6_TP8,XUSD/USDT,-,2026-07-28T01:00:00+00:00,2026-07-29T01:00:00+00:00,1.0012,1.0012,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
3188,S72_SL6_TP8,TREE/USDT,-,2026-08-09T04:00:00+00:00,2026-08-10T04:00:00+00:00,0.0377,0.0377,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
3246,S72_SL6_TP8,USDC/USDT,-,2026-08-14T04:00:00+00:00,2026-08-15T04:00:00+00:00,1.00088,1.00088,0.0,-0.2,0.2,-2.0,COST_ONLY_CANDIDATE
