metric,value
trades_read,31749
flat_price_trades,448
flat_positive_return,0
flat_negative_return,0
cost_only_candidate,448
flat_zero_return,0
inconclusive,0
parsing_errors,0
verdict,SEM_FALHA_ECONOMICA_PLANA_DETECTADA

scenario,flat_cases,flat_positive_return
S82_SL5_TP15,8,0
S80_SL6_TP15,7,0
S78_SL5_TP15,7,0
S85_SL5_TP15,6,0
S85_SL5_TP12,6,0
S82_SL6_TP8,6,0
S82_SL6_TP10,6,0
S82_SL5_TP12,6,0
S82_SL4_TP12,6,0
S80_SL6_TP8,6,0
S78_SL6_TP15,6,0
S78_SL6_TP12,6,0
S75_SL5_TP8,6,0
S75_SL4_TP15,6,0
S72_SL6_TP8,6,0
S72_SL4_TP12,6,0
CD6_E2_P10,6,0
CD6_E1_P10,6,0
CD24_E2_P7,6,0
CD24_E1_P7,6,0
CD12_E2_P15,6,0
S85_SL6_TP12,5,0
S85_SL5_TP8,5,0
S85_SL5_TP10,5,0
S85_SL4_TP15,5,0
S85_SL4_TP10,5,0
S82_SL6_TP15,5,0
S82_SL5_TP8,5,0
S82_SL4_TP8,5,0
S82_SL4_TP15,5,0
S82_SL4_TP10,5,0
S80_SL5_TP10,5,0
S78_SL5_TP12,5,0
S78_SL5_TP10,5,0
S75_SL5_TP10,5,0
S72_SL6_TP12,5,0
S72_SL4_TP8,5,0
S72_SL4_TP15,5,0
COST_0.30,5,0
COST_0.20,5,0
COST_0.15,5,0
CD6_E2_P7,5,0
CD6_E2_P15,5,0
CD6_E1_P15,5,0
CD24_E2_P15,5,0
CD24_E1_P15,5,0
CD12_E2_P10,5,0
S85_SL6_TP8,4,0
S82_SL6_TP12,4,0
S80_SL5_TP8,4,0
S80_SL5_TP15,4,0
S80_SL5_TP12,4,0
S80_SL4_TP8,4,0
S80_SL4_TP12,4,0
S80_SL4_TP10,4,0
S78_SL6_TP8,4,0
S78_SL6_TP10,4,0
S78_SL5_TP8,4,0
S78_SL4_TP10,4,0
S75_SL6_TP12,4,0
S75_SL6_TP10,4,0
S75_SL5_TP15,4,0
S75_SL4_TP12,4,0
S72_SL6_TP15,4,0
S72_SL6_TP10,4,0
S72_SL5_TP8,4,0
S72_SL5_TP10,4,0
ROBUST_78_SL5_TP12_CD6_P7,4,0
ROBUST_78_SL5_TP10_CD6_P7,4,0
ROBUST_72_SL5_TP10_CD6_P7,4,0
CD6_E1_P7,4,0
CD24_E2_P10,4,0
CD24_E1_P10,4,0
CD12_E2_P5,4,0
CD12_E1_P7,4,0
CD12_E1_P5,4,0
S85_SL6_TP15,3,0
S85_SL6_TP10,3,0
S85_SL4_TP12,3,0
S82_SL5_TP10,3,0
S80_SL6_TP10,3,0
S80_SL4_TP15,3,0
S78_SL4_TP8,3,0
S75_SL4_TP8,3,0
S75_SL4_TP10,3,0
S72_SL5_TP15,3,0
S72_SL5_TP12,3,0
S72_SL4_TP10,3,0
ROBUST_78_SL5_TP12_CD24_P5,3,0
ROBUST_78_SL5_TP10_CD24_P5,3,0
ROBUST_78_SL4_TP12_CD6_P7,3,0
CD12_E2_P7,3,0
CD12_E1_P15,3,0
S85_SL4_TP8,2,0
S80_SL6_TP12,2,0
S78_SL4_TP15,2,0
S78_SL4_TP12,2,0
S75_SL6_TP8,2,0
S75_SL5_TP12,2,0
CD6_E2_P5,2,0
CD6_E1_P5,2,0
CD24_E2_P5,2,0
CD24_E1_P5,2,0
S75_SL6_TP15,1,0
