scenario,check,status,value
S72_SL4_TP8,trade_math,OK,0
S72_SL4_TP10,trade_math,OK,0
S72_SL4_TP12,trade_math,OK,0
S72_SL4_TP15,trade_math,OK,0
S72_SL5_TP8,trade_math,OK,0
S72_SL5_TP10,trade_math,OK,0
S72_SL5_TP12,trade_math,OK,0
S72_SL5_TP15,trade_math,OK,0
S72_SL6_TP8,trade_math,OK,0
S72_SL6_TP10,trade_math,OK,0
S72_SL6_TP12,trade_math,OK,0
S72_SL6_TP15,trade_math,OK,0
S75_SL4_TP8,trade_math,OK,0
S75_SL4_TP10,trade_math,OK,0
S75_SL4_TP12,trade_math,OK,0
S75_SL4_TP15,trade_math,OK,0
S75_SL5_TP8,trade_math,OK,0
S75_SL5_TP10,trade_math,OK,0
S75_SL5_TP12,trade_math,OK,0
S75_SL5_TP15,trade_math,OK,0
S75_SL6_TP8,trade_math,OK,0
S75_SL6_TP10,trade_math,OK,0
S75_SL6_TP12,trade_math,OK,0
S75_SL6_TP15,trade_math,OK,0
S78_SL4_TP8,trade_math,OK,0
S78_SL4_TP10,trade_math,OK,0
S78_SL4_TP12,trade_math,OK,0
S78_SL4_TP15,trade_math,OK,0
S78_SL5_TP8,trade_math,OK,0
S78_SL5_TP10,trade_math,OK,0
S78_SL5_TP12,trade_math,OK,0
S78_SL5_TP15,trade_math,OK,0
S78_SL6_TP8,trade_math,OK,0
S78_SL6_TP10,trade_math,OK,0
S78_SL6_TP12,trade_math,OK,0
S78_SL6_TP15,trade_math,OK,0
S80_SL4_TP8,trade_math,OK,0
S80_SL4_TP10,trade_math,OK,0
S80_SL4_TP12,trade_math,OK,0
S80_SL4_TP15,trade_math,OK,0
S80_SL5_TP8,trade_math,OK,0
S80_SL5_TP10,trade_math,OK,0
S80_SL5_TP12,trade_math,OK,0
S80_SL5_TP15,trade_math,OK,0
S80_SL6_TP8,trade_math,OK,0
S80_SL6_TP10,trade_math,OK,0
S80_SL6_TP12,trade_math,OK,0
S80_SL6_TP15,trade_math,OK,0
