row,scenario,symbol,gross_return_pct,recorded_return_pct,implicit_cost_pp,cost_0_10_net,cost_0_15_net,cost_0_20_net,cost_0_30_net
2,S72_SL4_TP8,ACE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
3,S72_SL4_TP8,ALLO/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
4,S72_SL4_TP8,DEXE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
5,S72_SL4_TP8,CHIP/USDT,-3.4821145932,-3.6821145932,0.2000000000,-3.5821145932,-3.6321145932,-3.6821145932,-3.7821145932
6,S72_SL4_TP8,HOME/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
7,S72_SL4_TP8,PUMP/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
8,S72_SL4_TP8,ALLO/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
9,S72_SL4_TP8,CRCLB/USDT,-1.2214983713,-1.4214983713,0.2000000000,-1.3214983713,-1.3714983713,-1.4214983713,-1.5214983713
10,S72_SL4_TP8,ONG/USDT,-2.2226795637,-2.4226795637,0.2000000000,-2.3226795637,-2.3726795637,-2.4226795637,-2.5226795637
11,S72_SL4_TP8,PEPE/USDT,0.7142857143,0.5142857143,0.2000000000,0.6142857143,0.5642857143,0.5142857143,0.4142857143
12,S72_SL4_TP8,TAO/USDT,-2.2143935581,-2.4143935581,0.2000000000,-2.3143935581,-2.3643935581,-2.4143935581,-2.5143935581
13,S72_SL4_TP8,HEMI/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
14,S72_SL4_TP8,SUI/USDT,-1.2196738698,-1.4196738698,0.2000000000,-1.3196738698,-1.3696738698,-1.4196738698,-1.5196738698
15,S72_SL4_TP8,EDEN/USDT,-0.2076124567,-0.4076124567,0.2000000000,-0.3076124567,-0.3576124567,-0.4076124567,-0.5076124567
16,S72_SL4_TP8,TUT/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
17,S72_SL4_TP8,LTC/USDT,-1.4146959459,-1.6146959459,0.2000000000,-1.5146959459,-1.5646959459,-1.6146959459,-1.7146959459
18,S72_SL4_TP8,SKHYB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
19,S72_SL4_TP8,SOXLB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
20,S72_SL4_TP8,ALLO/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
21,S72_SL4_TP8,EWYB/USDT,-1.8839623208,-2.0839623208,0.2000000000,-1.9839623208,-2.0339623208,-2.0839623208,-2.1839623208
22,S72_SL4_TP8,MUB/USDT,0.7046395498,0.5046395498,0.2000000000,0.6046395498,0.5546395498,0.5046395498,0.4046395498
23,S72_SL4_TP8,LINK/USDT,2.0185229162,1.8185229162,0.2000000000,1.9185229162,1.8685229162,1.8185229162,1.7185229162
24,S72_SL4_TP8,HEMI/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
25,S72_SL4_TP8,DEXE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
26,S72_SL4_TP8,TREE/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
27,S72_SL4_TP8,SNDKB/USDT,6.3371041526,6.1371041526,0.2000000000,6.2371041526,6.1871041526,6.1371041526,6.0371041526
28,S72_SL4_TP8,XRP/USDT,2.7488923049,2.5488923049,0.2000000000,2.6488923049,2.5988923049,2.5488923049,2.4488923049
29,S72_SL4_TP8,ETH/USDT,2.2443481935,2.0443481935,0.2000000000,2.1443481935,2.0943481935,2.0443481935,1.9443481935
30,S72_SL4_TP8,NEAR/USDT,1.1704834606,0.9704834606,0.2000000000,1.0704834606,1.0204834606,0.9704834606,0.8704834606
31,S72_SL4_TP8,BMT/USDT,1.0979729730,0.8979729730,0.2000000000,0.9979729730,0.9479729730,0.8979729730,0.7979729730
32,S72_SL4_TP8,OPN/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
33,S72_SL4_TP8,RARE/USDT,-0.7812500000,-0.9812500000,0.2000000000,-0.8812500000,-0.9312500000,-0.9812500000,-1.0812500000
34,S72_SL4_TP8,RED/USDT,-2.0348837209,-2.2348837209,0.2000000000,-2.1348837209,-2.1848837209,-2.2348837209,-2.3348837209
35,S72_SL4_TP8,BICO/USDT,-1.0706638116,-1.2706638116,0.2000000000,-1.1706638116,-1.2206638116,-1.2706638116,-1.3706638116
36,S72_SL4_TP8,XPL/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
37,S72_SL4_TP8,GPS/USDT,-2.8138528139,-3.0138528139,0.2000000000,-2.9138528139,-2.9638528139,-3.0138528139,-3.1138528139
