row,entry_time,exit_time,scenario,symbol,return_pct,gross_price_return_pct,net_if_cost_020pp
17182,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S82_SL5_TP10,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
17750,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S82_SL5_TP15,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
18034,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S82_SL6_TP8,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
18884,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S82_SL6_TP15,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
19155,2026-08-12T02:00:00+00:00,2026-08-12T08:00:00+00:00,S85_SL4_TP8,PUMP/USDT,-4.20000000,-4.00000000,-4.20000000
19166,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S85_SL4_TP8,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
19446,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S85_SL4_TP10,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
19720,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S85_SL4_TP12,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
19993,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S85_SL4_TP15,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
19994,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S85_SL4_TP15,TAO/USDT,-3.22439024,-3.02439024,-3.22439024
20268,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S85_SL5_TP8,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
20544,2026-08-12T02:00:00+00:00,2026-08-13T02:00:00+00:00,S85_SL5_TP10,WLFI/USDT,-1.80427807,-1.60427807,-1.80427807
