scenario,trades,return_sum_pct,median_pct,mean_pct,win_rate_pct,profit_factor,p10_pct,p90_pct
CD12_E1_P15,483,464.02993199,-0.20199772,0.96072450,43.2712,1.638652,-5.20000000,9.80000000
CD12_E1_P5,184,34.16163468,-0.21997802,0.18566106,42.9348,1.113582,-5.20000000,9.80000000
CD12_E1_P7,256,325.67344523,-0.20999126,1.27216190,45.7031,1.776732,-5.20000000,9.80000000
CD12_E2_P10,347,192.77730495,-0.23004808,0.55555419,42.0749,1.348756,-5.20000000,9.80000000
CD12_E2_P15,490,510.68725901,-0.20749114,1.04221890,42.8571,1.717959,-5.20000000,9.80000000
CD12_E2_P5,185,67.57602782,-0.21799640,0.36527583,44.3243,1.227242,-5.20000000,9.80000000
CD12_E2_P7,256,290.62511858,-0.21399932,1.13525437,44.1406,1.699195,-5.20000000,9.80000000
CD24_E1_P10,345,159.45962619,-0.21997403,0.46220182,42.6087,1.285838,-5.20000000,9.80000000
CD24_E1_P15,477,161.58423930,-0.22254791,0.33875103,41.5094,1.221860,-5.20000000,9.80000000
CD24_E1_P5,188,119.80868772,-0.20998876,0.63728025,43.6170,1.400756,-5.20000000,9.80000000
CD24_E1_P7,247,313.82598238,-0.20999051,1.27055054,42.9150,1.848202,-5.20000000,9.80000000
CD24_E2_P10,345,159.45962619,-0.21997403,0.46220182,42.6087,1.285838,-5.20000000,9.80000000
CD24_E2_P15,477,161.58423930,-0.22254791,0.33875103,41.5094,1.221860,-5.20000000,9.80000000
CD24_E2_P5,188,119.80868772,-0.20998876,0.63728025,43.6170,1.400756,-5.20000000,9.80000000
CD24_E2_P7,247,313.82598238,-0.20999051,1.27055054,42.9150,1.848202,-5.20000000,9.80000000
CD6_E1_P10,349,451.32806465,-0.20999201,1.29320362,42.9799,1.845336,-5.20000000,9.80000000
CD6_E1_P15,490,575.60206152,-0.19950001,1.17469808,44.4898,1.821515,-5.20000000,9.80000000
CD6_E1_P5,194,116.83381943,-0.21000452,0.60223618,44.3299,1.365641,-5.20000000,9.80000000
CD6_E1_P7,257,325.25631704,-0.20999201,1.26558878,44.3580,1.794453,-5.20000000,9.80000000
CD6_E2_P10,353,298.67246274,-0.20999001,0.84609763,43.9093,1.563892,-5.20000000,9.80000000
CD6_E2_P15,496,526.11187283,-0.20000000,1.06070942,44.3548,1.711426,-5.20000000,9.80000000
CD6_E2_P5,194,115.73812043,-0.21100911,0.59658825,44.3299,1.361143,-5.20000000,9.80000000
CD6_E2_P7,256,90.21767598,-0.22295109,0.35241280,41.7969,1.206005,-5.20000000,9.80000000
COST_0.15,344,342.58039074,-0.31399932,0.99587323,41.5698,1.600884,-5.30000000,9.70000000
COST_0.20,344,308.18039074,-0.41399932,0.89587323,40.1163,1.521864,-5.40000000,9.60000000
COST_0.30,344,239.38039074,-0.61399932,0.69587323,38.3721,1.378562,-5.60000000,9.40000000
ROBUST_72_SL5_TP10_CD6_P7,267,376.86466544,-0.20000000,1.41147815,46.4419,1.910605,-5.20000000,9.80000000
