symbol,trades,return_sum_pct,median_pct,mean_pct,win_rate_pct,profit_factor,p10_pct,p90_pct
AAVE/USDT,367,-569.60166786,-2.69851866,-1.55204814,24.2507,0.283225,-3.83164721,2.61443299
ACE/USDT,555,2789.69013419,9.80000000,5.02646871,63.6036,3.828698,-5.20000000,14.80000000
ADA/USDT,505,107.99352203,-0.08283538,0.21384856,47.1287,1.154855,-4.20000000,4.08954424
ALLO/USDT,388,-335.52564284,-4.20000000,-0.86475681,38.1443,0.695071,-6.20000000,7.80000000
ALPINE/USDT,516,-246.49182749,-0.51250000,-0.47769734,43.7984,0.529659,-2.72365931,1.92121212
ARB/USDT,314,296.51617728,1.64453228,0.94431904,64.0127,1.765129,-3.38707204,4.02535211
AVAX/USDT,205,-466.51840713,-1.70684089,-2.27569955,13.6585,0.078315,-5.20000000,0.96861436
BCH/USDT,140,-175.97208939,-1.12038656,-1.25694350,41.4286,0.103328,-4.20000000,0.12817628
BEL/USDT,489,1153.37150398,2.03880597,2.35863293,77.0961,3.493280,-4.20000000,9.80000000
BICO/USDT,435,1776.98195131,7.80000000,4.08501598,55.4023,3.328699,-5.36000000,11.80000000
BMT/USDT,488,326.78227861,0.64602369,0.66963582,54.5082,1.448476,-5.20000000,7.80000000
BNB/USDT,412,113.91243828,0.23302590,0.27648650,52.6699,1.649578,-1.26034563,2.20220941
BOME/USDT,2,-10.40000000,-5.20000000,-5.20000000,0.0000,0.000000,-5.20000000,-5.20000000
BTC/USDT,141,29.12305383,0.26778363,0.20654648,55.3191,1.567163,-1.51902150,1.03346329
CHIP/USDT,519,114.04112550,-1.88612192,0.21973242,27.7457,1.093635,-5.20000000,9.80000000
CRCLB/USDT,546,-508.99183237,-1.69106766,-0.93221947,30.0366,0.497717,-5.02989064,3.71854366
DEXE/USDT,177,-912.50000000,-5.20000000,-5.15536723,0.0000,0.000000,-6.20000000,-4.20000000
DOGE/USDT,145,264.73012168,1.85411531,1.82572498,66.2069,8.797070,-0.79693007,6.36358909
DOT/USDT,158,223.84513232,1.85920206,1.41674134,87.3418,6.149266,-1.48956624,2.76774194
EDEN/USDT,598,1431.65084376,0.31683244,2.39406496,50.8361,2.474965,-4.20000000,11.80000000
ENA/USDT,407,460.96954664,0.79889012,1.13260331,58.2310,1.853787,-5.20000000,9.74000000
ETH/USDT,235,158.70714851,0.10893238,0.67534957,62.1277,1.905991,-2.64594152,2.91770677
EUR/USDT,525,-17.06357047,-0.17400572,-0.03250204,33.3333,0.797529,-0.30376135,0.40376057
EURI/USDT,451,-59.15469756,-0.20000000,-0.13116341,11.0865,0.344780,-0.36437408,0.34390736
EWYB/USDT,552,355.62462428,0.26658890,0.64424751,66.1232,2.049138,-2.08396232,4.06261636
FDUSD/USDT,223,-53.50786820,-0.21002004,-0.23994560,0.0000,0.000000,-0.30007005,-0.21001703
FET/USDT,112,660.56239173,12.26006390,5.89787850,58.0357,5.908726,-4.20000000,12.26006390
FIL/USDT,200,347.57197394,0.48055556,1.73785987,90.0000,12.361229,-0.01794815,7.93585887
