scenario,simulations,return_p05,return_median,return_p95,dd_p05,dd_median,dd_p95,positive_probability,loss10_probability,dd20_probability
S72_SL4_TP8,5000,13.511973756381874,346.93214156357203,1655.6531821268582,-62.48231595598551,-40.52478305975235,-26.973344390331476,96.46000000000001,2.68,99.88
S72_SL4_TP10,5000,16.637253786816462,355.8389922738993,1754.4942100934645,-63.49281404270309,-41.78341840986266,-27.985808634475834,96.44,2.74,99.96000000000001
S72_SL4_TP12,5000,153.65994616075258,1751.5901235592783,21196.68249915852,-60.32790061054105,-40.43718548799629,-27.23271065234252,99.33999999999999,0.54,99.92
S72_SL4_TP15,5000,233.91303228957943,2762.414113081223,39849.55756593381,-60.369543228688805,-40.461292887340875,-27.714210430027787,99.66000000000001,0.26,99.92
S72_SL5_TP8,5000,-68.60210422160864,95.70958612349976,2151.9245910639647,-82.94937150009835,-59.68964004510333,-38.27628303205225,70.7,26.700000000000003,100.0
S72_SL5_TP10,5000,48.77680417988323,1031.8566353242893,13411.952129786634,-64.81538452731222,-43.72548007003424,-29.287165916421166,98.06,1.44,99.96000000000001
S72_SL5_TP12,5000,59.99341647275661,691.8032695637471,3793.130169277189,-62.6269916230081,-42.030511740650425,-28.236844785763218,98.36,1.2,100.0
S72_SL5_TP15,5000,189.67821365828635,1439.518604705287,8189.280425482544,-59.01975512484376,-39.43860863150873,-26.626428562923802,99.66000000000001,0.22,99.94
S72_SL6_TP8,5000,-22.800972348925452,415.73697934345165,5961.581347635329,-71.32244454920091,-48.38971138112955,-30.99399053399644,92.06,6.619999999999999,100.0
S72_SL6_TP10,5000,-2.516169234132146,598.7951470583591,8460.475781234687,-71.78378434983281,-48.55082563336397,-32.12070403531179,94.74000000000001,4.24,100.0
S72_SL6_TP12,5000,54.89964472940246,685.3763899613783,3862.840260914573,-66.37623190779061,-44.091536552655924,-29.89737941120407,98.06,1.46,100.0
S72_SL6_TP15,5000,-21.174282854055157,300.2342637251521,2033.786549062478,-73.48236786901134,-50.187233335195344,-33.91919242923312,91.38,6.74,100.0
S75_SL4_TP8,5000,-7.064923845691016,227.4821638089343,1111.596738755455,-61.66615245516197,-39.49949921432645,-25.581172412993674,93.92,4.6,99.78
S75_SL4_TP10,5000,1.435810315388786,288.3731703727417,1408.2725686384413,-62.74145707032734,-40.47350653952387,-26.58225549266158,95.14,3.7199999999999998,99.88
S75_SL4_TP12,5000,176.44738140401995,1761.9907075659685,23662.083354229202,-57.547134552564096,-38.179259038724695,-25.6097331547942,99.66000000000001,0.2,99.82
S75_SL4_TP15,5000,78.71069083611054,692.929610379965,4022.364003700114,-59.94686699535854,-39.445432219692606,-26.834331656410964,98.96000000000001,0.7799999999999999,99.8
S75_SL5_TP8,5000,-44.363727749408426,228.19346689467145,3258.397163934072,-73.78690897412406,-49.82334755933857,-31.83666636725729,84.78,13.100000000000001,100.0
S75_SL5_TP10,5000,67.91558573010664,1084.2475304346683,14984.244716327863,-63.764068107333166,-42.40148850557162,-28.631927994752903,98.32,1.34,99.96000000000001
S75_SL5_TP12,5000,116.05047071172942,1559.2219165532233,22516.28266455806,-63.862905898219566,-42.93926805576615,-29.07650880672026,99.11999999999999,0.64,99.9
S75_SL5_TP15,5000,311.4598676318581,3191.4741126884296,43645.12886802415,-58.50176781530302,-38.971291481851004,-26.88819933739569,99.83999999999999,0.08,99.92
S75_SL6_TP8,5000,14.838690886624411,330.85678264455726,1637.9610507877594,-62.62956538290504,-40.57914503770257,-26.68652272975141,96.44,2.7,99.8
S75_SL6_TP10,5000,-21.33441598988531,225.6664911398846,1295.8252629840174,-69.21988935298393,-45.894469013732746,-30.15633990925724,91.3,6.78,100.0
S75_SL6_TP12,5000,-38.45396782498513,180.4977496778304,1229.8069297054926,-74.61473300459573,-50.91534102086849,-33.690741069226355,86.5,11.24,100.0
S75_SL6_TP15,5000,1.1237190198453215,470.2491425135899,3628.00455791122,-71.33597882761103,-49.24799356277598,-33.22848184895317,95.14,3.88,100.0
S78_SL4_TP8,5000,510.9356106140646,3455.931398687897,32874.91685307335,-41.61180336202091,-26.82259624569224,-18.05053389061375,100.0,0.0,88.75999999999999
S78_SL4_TP10,5000,199.29055256210572,935.1392879886105,3780.9284946136877,-46.663632096941654,-29.817755853752573,-20.06745549564572,99.94,0.06,95.16
S78_SL4_TP12,5000,657.650945465572,4886.491854919154,59767.146643711276,-45.01420830811213,-29.621757903318635,-20.166465265519818,100.0,0.0,95.34
S78_SL4_TP15,5000,177.76424854480356,1037.2713883799865,5076.563094655953,-51.72672974093184,-33.61598851258415,-22.776881776545682,99.94,0.04,98.82
S78_SL5_TP8,5000,12.004229499059587,260.30213742946046,1122.1784818550482,-56.912641071714475,-36.261885995758405,-23.491965821700056,96.26,2.58,98.9
S78_SL5_TP10,5000,-9.18147868791876,226.6618392336313,1095.5490249283557,-63.53526845821949,-40.74071521150475,-26.420975521270538,93.76,4.84,99.8
S78_SL5_TP12,5000,70.32540384259575,594.5117424909018,2796.4247298193377,-56.679399147756946,-37.36581019186618,-24.85179659439954,98.86,0.7799999999999999,99.66000000000001
S78_SL5_TP15,5000,300.5516489340225,2931.9094214973893,38374.22734787655,-53.21912819293341,-34.92619567643595,-23.4648845879533,99.9,0.06,99.2
S78_SL6_TP8,5000,35.121882835565124,709.225395390754,8562.882746340129,-60.11212988383121,-38.40081978330279,-25.10327866183699,97.54,1.92,99.64
S78_SL6_TP10,5000,105.7474522944007,703.5190825645125,3069.241394986482,-54.82960241124714,-35.30690676323869,-23.39445126777253,99.38,0.44,98.83999999999999
S78_SL6_TP12,5000,88.88932038204955,662.9885688863087,3194.0868896057573,-56.67272757412766,-37.16529009052961,-24.899005371431638,99.26,0.52,99.3
S78_SL6_TP15,5000,107.33018358397342,812.0090470033001,4105.9565330696705,-57.27128055865076,-37.80368702764281,-25.20351076667442,99.28,0.5,99.58
