name,score,sl,tp,cooldown_hours,max_entries_24h,max_positions,cost,trades,win_rate,return_pct,median_pct,profit_factor,drawdown_pct,remove_top10_return,remove_top20_return,remove_symbol10_return,first_half_return,second_half_return,mc_positive_probability,mc_drawdown_p95,walk_forward_positive_windows,walk_forward_windows,robustness_score,eligible
S72_SL4_TP8,72,4.0,8.0,12,1,10,0.1,396,42.42424242424242,351.13565523796694,-0.21300039006630894,1.3235126406422255,-75.29403154611569,112.87249194101618,0.4458355242952461,-45.84489352480995,-43.451401982721215,697.7839788355478,96.46000000000001,-26.973344390331476,9,13,55.0,False
S72_SL4_TP10,72,4.0,10.0,12,1,10,0.1,375,40.8,359.9392427584588,-0.28077544426493556,1.340763638162396,-72.0713473030626,76.6257909795424,-30.65251447033991,-42.691356533988944,-17.128161795764786,455.00065248335915,96.44,-27.985808634475834,10,13,51.0,False
S72_SL4_TP12,72,4.0,12.0,12,1,10,0.1,376,41.48936170212766,1912.7786119606578,-0.251178203899932,1.749800920577588,-69.0985212291332,159.80064836977698,-14.842638852172119,-43.750498648721425,-20.7791196302887,2440.7172989839823,99.33999999999999,-27.23271065234252,10,13,51.0,False
S72_SL4_TP15,72,4.0,15.0,12,1,10,0.1,369,40.921409214092144,3103.883706690422,-0.2578285383836863,1.851463237432935,-71.88363544195535,226.32870395916984,-17.920179973625274,-19.333884260988153,-23.69510451690203,4098.791815919732,99.66000000000001,-27.714210430027787,10,13,51.0,False
S72_SL5_TP8,72,5.0,8.0,12,1,10,0.1,371,42.04851752021563,110.30326519478297,-0.2299760191846521,1.2909700107915714,-64.46847998255491,-61.42298986647956,-81.79708435054943,-81.21890455642253,-51.124220466402484,330.2811478438305,70.7,-38.27628303205225,10,13,38.0,False
S72_SL5_TP10,72,5.0,10.0,12,1,10,0.1,363,43.25068870523416,1101.3528982654034,-0.21727563272004852,1.640039397494842,-63.70191810425809,78.68254077754358,-29.844985592116522,-55.39727879168951,-32.17966411888644,1671.3756245196578,98.06,-29.287165916421166,9,13,48.0,False
S72_SL5_TP12,72,5.0,12.0,12,1,10,0.1,356,42.97752808988764,699.8299555165198,-0.21898521723798786,1.4561881747120502,-62.36587179436901,161.0935531156207,-14.418851009214928,-48.68884863411475,-8.731612938865418,776.3493924580571,98.36,-28.236844785763218,9,13,48.0,False
S72_SL5_TP15,72,5.0,15.0,12,1,10,0.1,348,43.103448275862064,1424.4114905666677,-0.2100185345146886,1.6141463921863484,-68.3144599720371,283.4275663580775,-3.5583898750150667,-20.8072103445346,17.512889679110067,1197.2291760753624,99.66000000000001,-26.626428562923802,10,13,56.0,False
S72_SL6_TP8,72,6.0,8.0,12,1,10,0.1,365,44.657534246575345,473.68195999543366,-0.20999050901643318,1.5078844076848454,-71.56498424961923,1.2473921076008754,-52.225490470033044,-71.02556154925995,-65.55332218508254,1565.4202854563682,92.06,-30.99399053399644,10,13,51.0,False
S72_SL6_TP10,72,6.0,10.0,12,1,10,0.1,353,43.05949008498583,678.521782186915,-0.21998201618542695,1.549205347310718,-71.60100897382637,18.38733162947812,-53.51831846561295,-67.1053147398089,-53.617016119710684,1578.464206175731,94.74000000000001,-32.12070403531179,10,13,51.0,False
S72_SL6_TP12,72,6.0,12.0,12,1,10,0.1,354,43.50282485875706,698.9790722465802,-0.21699692056469916,1.4422928868265223,-68.42385877949975,150.79191005154073,-17.795519790946468,-48.228523126541404,-35.57825058439872,1140.2318774241317,98.06,-29.89737941120407,11,13,51.0,False
S72_SL6_TP15,72,6.0,15.0,12,1,10,0.1,348,41.66666666666667,314.54227370626296,-0.22794659508360554,1.3273657052771073,-76.31813095787787,4.267736200709793,-73.77405996445043,-71.59039713877242,-59.448105302261546,922.2513073584745,91.38,-33.91919242923312,9,13,48.0,False
S75_SL4_TP8,75,4.0,8.0,12,1,10,0.1,357,43.13725490196079,237.44116336669515,-0.21001803245842537,1.3048993788128618,-52.8388453582531,59.224704355176236,-24.86836453487793,-39.845708545012485,-12.868869807506012,287.279681350632,93.92,-25.581172412993674,10,13,51.0,False
S75_SL4_TP10,75,4.0,10.0,12,1,10,0.1,345,41.15942028985507,290.9333517379645,-0.2120012001200154,1.342328323744621,-64.42967559795221,50.126160266048835,-41.05689962413772,-50.088117369144236,-33.176367657076725,485.0226005850535,95.14,-26.58225549266158,10,13,51.0,False
S75_SL4_TP12,75,4.0,12.0,12,1,10,0.1,350,41.42857142857143,2021.526346205516,-0.2199790224754637,1.8198834897073564,-62.19390856644893,180.3648696353199,-8.102105955036654,-28.36957448846549,68.35680488649875,1160.1369737539194,99.66000000000001,-25.6097331547942,10,13,56.0,False
S75_SL4_TP15,75,4.0,15.0,12,1,10,0.1,338,39.94082840236686,726.1393638615627,-0.24393830765337948,1.515705887925135,-68.51660031567273,107.79468517407871,-47.73444641982949,-40.634231249502704,9.326077067232209,655.6654240447247,98.96000000000001,-26.834331656410964,10,13,56.0,False
S75_SL5_TP8,75,5.0,8.0,12,1,10,0.1,346,43.0635838150289,264.4958818842574,-0.21898521723798786,1.4384428164445369,-60.92562313639588,-33.27934728395668,-68.51724876389251,-72.24213065907136,-31.502362947357977,432.1291325774259,84.78,-31.83666636725729,10,13,38.0,False
S75_SL5_TP10,75,5.0,10.0,12,1,10,0.1,344,43.02325581395349,1196.6068039302145,-0.2139993202647737,1.6849955981726241,-63.69221512894219,92.33944752860907,-24.482959253567326,-60.94750205607456,-38.906179548501605,2022.320709931007,98.32,-28.631927994752903,9,13,48.0,False
S75_SL5_TP12,75,5.0,12.0,12,1,10,0.1,341,42.52199413489736,1734.0008679924726,-0.22997302427815153,1.7306061325592446,-65.92793066003442,141.3744073838013,-20.882385358140397,-42.105550687725966,-22.228880594032674,2258.202996177718,99.11999999999999,-29.07650880672026,9,13,48.0,False
S75_SL5_TP15,75,5.0,15.0,12,1,10,0.1,336,42.857142857142854,3567.723405871662,-0.21101062010008814,1.9600955646239935,-71.82759573718704,281.9187509674994,-3.9378946326693143,-45.571005207938256,-0.7174821393647224,3594.228837971366,99.83999999999999,-26.88819933739569,10,13,51.0,False
S75_SL6_TP8,75,6.0,8.0,12,1,10,0.1,342,46.783625730994146,344.57238835418326,-0.1476953465102125,1.364319038947128,-58.32625178122497,109.77555433344035,-1.0154828580055786,-29.694049737461647,-21.70136110937356,467.79069809271647,96.44,-26.68652272975141,10,13,54.0,False
S75_SL6_TP10,75,6.0,10.0,12,1,10,0.1,334,42.51497005988024,234.29242429751622,-0.21997802497076818,1.300555203428605,-65.37922100633848,31.25115493089028,-48.46767554815757,-62.970251434118055,-8.377904132942525,264.86004946074416,91.3,-30.15633990925724,10,13,51.0,False
S75_SL6_TP12,75,6.0,12.0,12,1,10,0.1,330,40.909090909090914,182.06423534094793,-0.23745315953518903,1.2609656639011524,-67.51105619180973,-7.545088487895968,-69.69516304547221,-75.23389284619618,-39.45085913423229,365.8434972120581,86.5,-33.690741069226355,11,13,38.0,False
S75_SL6_TP15,75,6.0,15.0,12,1,10,0.1,334,40.41916167664671,499.02783934249334,-0.24001206125303637,1.3963732725491094,-74.72740611529035,50.67046400604727,-62.102614882281046,-72.06220769921532,-59.40627505518533,1375.666103952877,95.14,-33.22848184895317,9,13,48.0,False
S78_SL4_TP8,78,4.0,8.0,12,1,10,0.1,313,47.6038338658147,3799.3220592451544,-0.19000999000997593,2.2360493394472916,-37.24702063368361,586.8551072468009,224.0988748825798,53.349968610019395,94.85249866098818,1901.1660543441853,100.0,-18.05053389061375,9,13,70.0,False
S78_SL4_TP10,78,4.0,10.0,12,1,10,0.1,301,45.51495016611295,972.2935644122629,-0.19134723544171878,1.7031902927468812,-43.008603089013896,311.7819950320066,61.67540302856474,2.7332215383562675,25.87154007530781,751.8951653175279,99.94,-20.06745549564572,8,13,70.0,False
S78_SL4_TP12,78,4.0,12.0,12,1,10,0.1,300,45.33333333333333,5568.829731706211,-0.20898909362413992,2.301529254504477,-42.867181473340885,646.0794817114986,144.5496586238745,63.9291515191996,175.86260763256223,1954.9467651146351,100.0,-20.166465265519818,9,13,70.0,False
