scenario,window,train_start,train_end,test_start,test_end,train_trades,train_return,train_pf,test_trades,test_return,test_pf,test_dd,test_median,test_positive
S72_SL4_TP8,0,2026-07-18T13:00:00+00:00,2026-07-25T13:00:00+00:00,2026-07-25T13:00:00+00:00,2026-07-27T13:00:00+00:00,65,-64.5871271655397,0.3753527587236813,4,4.278433162951822,inf,0.0,0.6698176663097468,True
S72_SL4_TP8,1,2026-07-20T13:00:00+00:00,2026-07-27T13:00:00+00:00,2026-07-27T13:00:00+00:00,2026-07-29T13:00:00+00:00,50,-42.24190163321313,0.4655132735153358,21,-24.880540778647266,0.3542561357444272,-29.059235214096113,-0.3000700490343287,False
S72_SL4_TP8,2,2026-07-22T13:00:00+00:00,2026-07-29T13:00:00+00:00,2026-07-29T13:00:00+00:00,2026-07-31T13:00:00+00:00,52,-48.23701235402989,0.35563679233385154,19,-6.008656279252711,0.8290008730007498,-19.11828773070855,-0.21998201618542695,False
S72_SL4_TP8,3,2026-07-24T13:00:00+00:00,2026-07-31T13:00:00+00:00,2026-07-31T13:00:00+00:00,2026-08-02T13:00:00+00:00,59,-18.12796241749779,0.8067984818158105,21,34.76570783221216,4.269784366586957,-4.199999999999992,-0.07838776928421592,True
S72_SL4_TP8,4,2026-07-26T13:00:00+00:00,2026-08-02T13:00:00+00:00,2026-08-02T13:00:00+00:00,2026-08-04T13:00:00+00:00,71,-11.453171187787326,0.9031186506610029,24,29.349865322183312,2.288462500912132,-8.223599999999987,0.4690899438279163,True
S72_SL4_TP8,5,2026-07-28T13:00:00+00:00,2026-08-04T13:00:00+00:00,2026-08-04T13:00:00+00:00,2026-08-06T13:00:00+00:00,80,0.04164845125969041,1.0474407699844241,20,36.830680912299286,2.836820164792461,-10.203600545455405,2.0832358933355555,True
S72_SL4_TP8,6,2026-07-30T13:00:00+00:00,2026-08-06T13:00:00+00:00,2026-08-06T13:00:00+00:00,2026-08-08T13:00:00+00:00,87,86.05891069204577,1.6726806946984485,22,57.9952617423126,4.309076661917958,-4.200000000000004,0.4434870299125595,True
S72_SL4_TP8,7,2026-08-01T13:00:00+00:00,2026-08-08T13:00:00+00:00,2026-08-08T13:00:00+00:00,2026-08-10T13:00:00+00:00,88,104.1917377376568,1.727185813291514,21,23.384254872902723,1.934273138269517,-17.380362715148067,0.33619302949061697,True
S72_SL4_TP8,8,2026-08-03T13:00:00+00:00,2026-08-10T13:00:00+00:00,2026-08-10T13:00:00+00:00,2026-08-12T13:00:00+00:00,83,186.41475733840971,2.5529762068431943,23,-8.416788355800763,0.777561649072349,-22.52222092158013,-0.27408372833224154,False
S72_SL4_TP8,9,2026-08-05T13:00:00+00:00,2026-08-12T13:00:00+00:00,2026-08-12T13:00:00+00:00,2026-08-14T13:00:00+00:00,84,23.176822135752694,1.2282939454757638,21,26.39951427510536,2.035513996870223,-8.223600000000008,0.5462686567164312,True
S72_SL4_TP8,10,2026-08-07T13:00:00+00:00,2026-08-14T13:00:00+00:00,2026-08-14T13:00:00+00:00,2026-08-16T13:00:00+00:00,83,53.63916602517853,1.4551220510878675,25,73.63480793658799,4.455626522271807,-7.342539731869913,0.47365269461077125,True
S72_SL4_TP8,11,2026-08-09T13:00:00+00:00,2026-08-16T13:00:00+00:00,2026-08-16T13:00:00+00:00,2026-08-18T13:00:00+00:00,83,50.29286498814336,1.4472078573236031,30,-7.482041239164882,0.9289520512270982,-22.07900821296288,-1.2102758855913385,False
S72_SL4_TP8,12,2026-08-11T13:00:00+00:00,2026-08-18T13:00:00+00:00,2026-08-18T13:00:00+00:00,2026-08-20T13:00:00+00:00,93,341.7472232537613,2.529838700593094,20,75.70028422378236,4.157104215823722,-12.078208800000013,3.6914435904729537,True
S72_SL4_TP10,0,2026-07-18T13:00:00+00:00,2026-07-25T13:00:00+00:00,2026-07-25T13:00:00+00:00,2026-07-27T13:00:00+00:00,65,-61.17862447722599,0.43842407979122333,4,4.278433162951822,inf,0.0,0.6698176663097468,True
S72_SL4_TP10,1,2026-07-20T13:00:00+00:00,2026-07-27T13:00:00+00:00,2026-07-27T13:00:00+00:00,2026-07-29T13:00:00+00:00,49,-46.084063616159156,0.4135358853601844,21,-23.486858789382847,0.4015236527907986,-29.05923521409609,-0.3000700490343287,False
S72_SL4_TP10,2,2026-07-22T13:00:00+00:00,2026-07-29T13:00:00+00:00,2026-07-29T13:00:00+00:00,2026-07-31T13:00:00+00:00,52,-51.323836723444025,0.3206602903372248,19,-25.735619687094204,0.19446150011054236,-25.735619687094204,-0.7289097247265228,False
S72_SL4_TP10,3,2026-07-24T13:00:00+00:00,2026-07-31T13:00:00+00:00,2026-07-31T13:00:00+00:00,2026-08-02T13:00:00+00:00,58,-42.18445129211668,0.4676686724422288,20,23.80601236288351,2.473722883072972,-9.815096349402708,-0.07927776720652019,True
S72_SL4_TP10,4,2026-07-26T13:00:00+00:00,2026-08-02T13:00:00+00:00,2026-08-02T13:00:00+00:00,2026-08-04T13:00:00+00:00,72,-39.03053414194388,0.5689521124715001,24,54.64676516889442,3.177914371386148,-8.223599999999998,0.4690899438279163,True
S72_SL4_TP10,5,2026-07-28T13:00:00+00:00,2026-08-04T13:00:00+00:00,2026-08-04T13:00:00+00:00,2026-08-06T13:00:00+00:00,80,45.85305920406086,1.4425038076973027,20,21.577831821953588,1.8845826741414136,-10.905740492461625,1.577666842590997,True
S72_SL4_TP10,6,2026-07-30T13:00:00+00:00,2026-08-06T13:00:00+00:00,2026-08-06T13:00:00+00:00,2026-08-08T13:00:00+00:00,83,201.53915628180368,2.3332580492723607,23,48.20626863555615,3.577237506535454,-5.736894943698834,0.3496921723834758,True
S72_SL4_TP10,7,2026-08-01T13:00:00+00:00,2026-08-08T13:00:00+00:00,2026-08-08T13:00:00+00:00,2026-08-10T13:00:00+00:00,85,106.25539820466048,1.8007727099280748,20,44.62900186838752,3.4827663205054464,-7.861148291566056,0.6014567319173494,True
S72_SL4_TP10,8,2026-08-03T13:00:00+00:00,2026-08-10T13:00:00+00:00,2026-08-10T13:00:00+00:00,2026-08-12T13:00:00+00:00,80,183.2894120330609,2.555138630596671,24,-8.977546660252356,0.7970805257867395,-22.522220921580114,-0.45562880535918704,False
S72_SL4_TP10,9,2026-08-05T13:00:00+00:00,2026-08-12T13:00:00+00:00,2026-08-12T13:00:00+00:00,2026-08-14T13:00:00+00:00,87,-0.260211193655846,1.055297044646968,20,34.7905379527345,2.571478728476203,-8.223600000000008,0.9872936203936147,True
S72_SL4_TP10,10,2026-08-07T13:00:00+00:00,2026-08-14T13:00:00+00:00,2026-08-14T13:00:00+00:00,2026-08-16T13:00:00+00:00,81,113.06942251545476,1.8526489055720354,21,52.56307215761691,4.7241799607636805,-7.342539731869923,-0.11245987744381553,True
S72_SL4_TP10,11,2026-08-09T13:00:00+00:00,2026-08-16T13:00:00+00:00,2026-08-16T13:00:00+00:00,2026-08-18T13:00:00+00:00,84,80.49631626093384,1.5873073508158229,28,14.651589216179861,1.333840559816387,-15.866664340700964,-0.5870482446969858,True
S72_SL4_TP10,12,2026-08-11T13:00:00+00:00,2026-08-18T13:00:00+00:00,2026-08-18T13:00:00+00:00,2026-08-20T13:00:00+00:00,86,229.1449831563652,2.3946597794087308,20,104.98461558727321,5.046185515947498,-12.078208800000013,3.6914435904729537,True
S72_SL4_TP12,0,2026-07-18T13:00:00+00:00,2026-07-25T13:00:00+00:00,2026-07-25T13:00:00+00:00,2026-07-27T13:00:00+00:00,63,-55.992675975306085,0.49631733175641635,4,4.278433162951822,inf,0.0,0.6698176663097468,True
S72_SL4_TP12,1,2026-07-20T13:00:00+00:00,2026-07-27T13:00:00+00:00,2026-07-27T13:00:00+00:00,2026-07-29T13:00:00+00:00,48,-44.98236154823295,0.41472258257830913,21,-22.08538064021649,0.44889712335974297,-24.011716110442393,-0.3000700490343287,False
