signal_id,scenario,symbol,entry_time,entry_price,quantity,notional,entry_fee_rate,entry_fee,slippage_entry_pct,score,confidence,target_reached
20260904010000+0000_def9b10dcb,V9.20_V3_FORWARD,XPL/USDT,2026-09-04T01:00:00+00:00,0.095345250000,1048.819946457742,100.00000000,0.00100000,0.10000000,0.00100000,68.00,40.00,0
20260904020000+0000_dc134ed697,V9.20_V3_FORWARD,ASTER/USDT,2026-09-04T02:00:00+00:00,0.721721000000,138.557697503606,100.00000000,0.00100000,0.10000000,0.00100000,68.00,59.00,0
20260904020000+0000_f97e763500,V9.20_V3_FORWARD,LTC/USDT,2026-09-04T02:00:00+00:00,51.221170000000,1.952317762363,100.00000000,0.00100000,0.10000000,0.00100000,68.00,40.00,0
20260904020000+0000_93a91eecac,V9.20_V3_FORWARD,MUBARAK/USDT,2026-09-04T02:00:00+00:00,0.029339310000,3408.396448314566,100.00000000,0.00100000,0.10000000,0.00100000,68.00,32.00,0
20260904020000+0000_6eb8b298eb,V9.20_V3_FORWARD,EUR/USDT,2026-09-04T02:00:00+00:00,1.164163000000,85.898624161737,100.00000000,0.00100000,0.10000000,0.00100000,66.00,46.00,0
20260904030000+0000_b9c1d70649,V9.20_V3_FORWARD,UNI/USDT,2026-09-04T03:00:00+00:00,6.355349000000,15.734777114522,100.00000000,0.00100000,0.10000000,0.00100000,76.00,71.00,0
20260904030000+0000_ee631d8e6e,V9.20_V3_FORWARD,TRUMP/USDT,2026-09-04T03:00:00+00:00,2.383381000000,41.957202813986,100.00000000,0.00100000,0.10000000,0.00100000,66.00,46.00,0
20260904030000+0000_ff6e9e23c9,V9.20_V3_FORWARD,ENA/USDT,2026-09-04T03:00:00+00:00,0.166466300000,600.722188214672,100.00000000,0.00100000,0.10000000,0.00100000,65.00,40.00,0
20260904040000+0000_3e339ef3a2,V9.20_V3_FORWARD,LINK/USDT,2026-09-04T04:00:00+00:00,11.940929000000,8.374557791944,100.00000000,0.00100000,0.10000000,0.00100000,77.00,77.00,0
20260904040000+0000_e20535323f,V9.20_V3_FORWARD,ETH/USDT,2026-09-04T04:00:00+00:00,2511.909400000000,0.039810353033,100.00000000,0.00100000,0.10000000,0.00100000,76.00,71.00,0
